NUMDATE,STRDATE,XCOORD,YCOORD,ZCOORD
2378575.696527778,1800-Mar-21,10361991.15393252,44740306.10192157,2686641.262031903
2396785.352083333,1850-Jan-27,10300791.04140037,44753661.08088351,2697676.013164373
2415082.977083333,1900-Mar-04,10238305.55014756,44765589.86047682,2708614.077207509
2433292.634027778,1950-Jan-11,10172151.51656088,44780507.06962235,2720159.479608782
2451590.25625,2000-Feb-15,10116392.01587152,44791898.83565208,2730523.064604849
